date,category,product,units_sold,revenue,product_price,promo_flag,is_holiday_season,category_popularity_30d
2020-05-08,Electronics,Smart Speaker,7,991.63,141.66,0,0,1.03
2020-05-08,Groceries,Organic Cereal,307,1556.42,5.07,0,0,1.1
2020-05-08,Clothing,Running Shoes,54,3145.9,58.26,0,0,0.95
2020-05-08,Books,Business Book,86,1869.15,21.73,0,0,1.1
2020-05-08,Furniture,Office Chair,7,822.02,117.43,0,0,0.93
2020-05-08,Toys,Building Blocks,40,1357.98,33.95,0,0,1.09
2020-05-08,Sports,Yoga Mat,42,1793.46,42.7,0,0,0.98
2020-05-08,Beauty,Face Serum,158,3123.75,19.77,0,0,1.04
2020-05-09,Electronics,Smart Speaker,6,840.23,140.04,0,0,1.02
2020-05-09,Groceries,Organic Cereal,326,1620.57,4.97,0,0,0.97
2020-05-09,Clothing,Running Shoes,62,3634.32,58.62,0,0,1.11
2020-05-09,Books,Business Book,95,2413.48,25.41,0,0,0.96
2020-05-09,Furniture,Office Chair,7,883.3,126.19,0,0,1.09
2020-05-09,Toys,Building Blocks,64,2116.09,33.06,0,0,0.88
2020-05-09,Sports,Yoga Mat,35,1569.33,44.84,0,0,1.1
2020-05-09,Beauty,Face Serum,173,3522.52,20.36,0,0,1.15
2020-05-10,Electronics,Smart Speaker,6,882.06,147.01,0,0,0.99
2020-05-10,Groceries,Organic Cereal,356,1653.73,4.65,0,0,1.1
2020-05-10,Clothing,Running Shoes,74,4321.36,58.4,0,0,0.85
2020-05-10,Books,Business Book,98,2424.01,24.73,0,0,0.96
2020-05-10,Furniture,Office Chair,10,1215.43,121.54,0,0,1.03
2020-05-10,Toys,Building Blocks,53,1855.47,35.01,0,0,0.98
2020-05-10,Sports,Yoga Mat,59,2609.5,44.23,0,0,0.92
2020-05-10,Beauty,Face Serum,146,3195.38,21.89,0,0,1.02
2020-05-11,Electronics,Smart Speaker,10,1498.61,149.86,1,0,0.83
2020-05-11,Groceries,Organic Cereal,373,1874.54,5.03,1,0,0.96
2020-05-11,Clothing,Running Shoes,66,4054.6,61.43,1,0,0.97
2020-05-11,Books,Business Book,90,2288.23,25.42,1,0,1.0
2020-05-11,Furniture,Office Chair,13,1499.52,115.35,1,0,1.08
2020-05-11,Toys,Building Blocks,59,2210.09,37.46,1,0,1.14
2020-05-11,Sports,Yoga Mat,44,1931.15,43.89,1,0,1.09
2020-05-11,Beauty,Face Serum,161,3494.76,21.71,1,0,1.09
2020-05-12,Electronics,Smart Speaker,17,2432.77,143.1,0,0,1.15
2020-05-12,Groceries,Organic Cereal,344,1652.64,4.8,0,0,0.97
2020-05-12,Clothing,Running Shoes,66,4121.08,62.44,0,0,0.88
2020-05-12,Books,Business Book,101,2322.06,22.99,0,0,1.02
2020-05-12,Furniture,Office Chair,9,1013.2,112.58,0,0,0.87
2020-05-12,Toys,Building Blocks,50,1775.64,35.51,0,0,0.93
2020-05-12,Sports,Yoga Mat,47,1989.02,42.32,0,0,1.07
2020-05-12,Beauty,Face Serum,147,3110.31,21.16,0,0,0.92
2020-05-13,Electronics,Smart Speaker,9,1291.43,143.49,0,0,1.01
2020-05-13,Groceries,Organic Cereal,294,1534.58,5.22,0,0,0.98
2020-05-13,Clothing,Running Shoes,53,3614.77,68.2,0,0,1.01
2020-05-13,Books,Business Book,80,1903.7,23.8,0,0,1.1
2020-05-13,Furniture,Office Chair,12,1431.06,119.26,0,0,1.07
2020-05-13,Toys,Building Blocks,59,2071.01,35.1,0,0,0.89
2020-05-13,Sports,Yoga Mat,35,1660.29,47.44,0,0,1.11
2020-05-13,Beauty,Face Serum,147,3015.71,20.52,0,0,1.05
2020-05-14,Electronics,Smart Speaker,7,1119.87,159.98,0,0,1.1
2020-05-14,Groceries,Organic Cereal,334,1520.66,4.55,0,0,1.04
2020-05-14,Clothing,Running Shoes,63,3611.2,57.32,0,0,0.97
2020-05-14,Books,Business Book,63,1618.28,25.69,0,0,0.87
2020-05-14,Furniture,Office Chair,8,1074.67,134.33,0,0,1.18
2020-05-14,Toys,Building Blocks,47,1686.54,35.88,0,0,1.09
2020-05-14,Sports,Yoga Mat,42,1845.12,43.93,0,0,0.93
2020-05-14,Beauty,Face Serum,162,3035.74,18.74,0,0,1.09
2020-05-15,Electronics,Smart Speaker,13,1878.75,144.52,0,0,0.87
2020-05-15,Groceries,Organic Cereal,277,1368.56,4.94,0,0,1.19
2020-05-15,Clothing,Running Shoes,63,3535.26,56.12,0,0,0.99
2020-05-15,Books,Business Book,54,1454.16,26.93,0,0,1.13
2020-05-15,Furniture,Office Chair,5,601.76,120.35,0,0,1.23
2020-05-15,Toys,Building Blocks,50,1806.63,36.13,0,0,1.01
2020-05-15,Sports,Yoga Mat,42,1831.87,43.62,0,0,1.21
2020-05-15,Beauty,Face Serum,166,3392.93,20.44,0,0,0.99
2020-05-16,Electronics,Smart Speaker,5,760.54,152.11,0,0,0.94
2020-05-16,Groceries,Organic Cereal,315,1528.59,4.85,0,0,1.08
2020-05-16,Clothing,Running Shoes,69,4326.22,62.7,0,0,1.03
2020-05-16,Books,Business Book,99,2372.41,23.96,0,0,0.94
2020-05-16,Furniture,Office Chair,14,1678.24,119.87,0,0,1.01
2020-05-16,Toys,Building Blocks,57,1967.96,34.53,0,0,0.94
2020-05-16,Sports,Yoga Mat,45,1843.56,40.97,0,0,0.96
2020-05-16,Beauty,Face Serum,170,3531.02,20.77,0,0,1.07
2020-05-17,Electronics,Smart Speaker,10,1505.69,150.57,0,0,0.93
2020-05-17,Groceries,Organic Cereal,321,1538.75,4.79,0,0,0.97
2020-05-17,Clothing,Running Shoes,55,3164.33,57.53,0,0,1.02
2020-05-17,Books,Business Book,87,2123.77,24.41,0,0,1.02
2020-05-17,Furniture,Office Chair,6,694.14,115.69,0,0,0.98
2020-05-17,Toys,Building Blocks,46,1555.07,33.81,0,0,1.0
2020-05-17,Sports,Yoga Mat,39,1866.54,47.86,0,0,1.08
2020-05-17,Beauty,Face Serum,203,3990.33,19.66,0,0,1.05
2020-05-18,Electronics,Smart Speaker,6,910.08,151.68,1,0,1.0
2020-05-18,Groceries,Organic Cereal,382,1912.34,5.01,1,0,1.05
2020-05-18,Clothing,Running Shoes,70,4652.17,66.46,1,0,0.92
2020-05-18,Books,Business Book,84,2329.93,27.74,1,0,0.92
2020-05-18,Furniture,Office Chair,12,1287.08,107.26,1,0,0.95
2020-05-18,Toys,Building Blocks,57,2029.09,35.6,1,0,1.19
2020-05-18,Sports,Yoga Mat,64,2750.63,42.98,1,0,1.05
2020-05-18,Beauty,Face Serum,228,4258.99,18.68,1,0,1.18
2020-05-19,Electronics,Smart Speaker,6,896.69,149.45,0,0,0.97
2020-05-19,Groceries,Organic Cereal,315,1601.85,5.09,0,0,0.99
2020-05-19,Clothing,Running Shoes,63,3316.52,52.64,0,0,0.91
2020-05-19,Books,Business Book,80,2025.94,25.32,0,0,1.03
2020-05-19,Furniture,Office Chair,7,826.85,118.12,0,0,0.84
2020-05-19,Toys,Building Blocks,55,1948.32,35.42,0,0,1.2
2020-05-19,Sports,Yoga Mat,41,1860.68,45.38,0,0,1.12
2020-05-19,Beauty,Face Serum,162,3074.7,18.98,0,0,0.97
2020-05-20,Electronics,Smart Speaker,14,2211.13,157.94,0,0,0.82
2020-05-20,Groceries,Organic Cereal,291,1454.55,5.0,0,0,1.04
2020-05-20,Clothing,Running Shoes,50,2981.56,59.63,0,0,0.99
2020-05-20,Books,Business Book,80,1889.87,23.62,0,0,1.05
2020-05-20,Furniture,Office Chair,3,396.99,132.33,0,0,0.97
2020-05-20,Toys,Building Blocks,40,1342.92,33.57,0,0,0.94
2020-05-20,Sports,Yoga Mat,40,1670.93,41.77,0,0,0.98
2020-05-20,Beauty,Face Serum,162,3223.48,19.9,0,0,1.0
2020-05-21,Electronics,Smart Speaker,7,1044.1,149.16,0,0,0.98
2020-05-21,Groceries,Organic Cereal,310,1528.68,4.93,0,0,0.77
2020-05-21,Clothing,Running Shoes,60,3896.09,64.93,0,0,0.98
2020-05-21,Books,Business Book,57,1644.37,28.85,0,0,1.11
2020-05-21,Furniture,Office Chair,4,441.45,110.36,0,0,1.02
2020-05-21,Toys,Building Blocks,62,2086.11,33.65,0,0,0.96
2020-05-21,Sports,Yoga Mat,38,1800.23,47.37,0,0,1.07
2020-05-21,Beauty,Face Serum,143,3199.53,22.37,0,0,1.1
2020-05-22,Electronics,Smart Speaker,12,1721.19,143.43,0,0,0.86
2020-05-22,Groceries,Organic Cereal,295,1371.86,4.65,0,0,1.06
2020-05-22,Clothing,Running Shoes,54,3134.6,58.05,0,0,0.95
2020-05-22,Books,Business Book,67,1679.06,25.06,0,0,0.92
2020-05-22,Furniture,Office Chair,9,1048.85,116.54,0,0,1.08
2020-05-22,Toys,Building Blocks,44,1414.68,32.15,0,0,1.0
2020-05-22,Sports,Yoga Mat,31,1439.54,46.44,0,0,0.83
2020-05-22,Beauty,Face Serum,149,2882.88,19.35,0,0,1.0
2020-05-23,Electronics,Smart Speaker,13,1891.31,145.49,0,0,1.08
2020-05-23,Groceries,Organic Cereal,338,1628.88,4.82,0,0,1.24
2020-05-23,Clothing,Running Shoes,57,3449.02,60.51,0,0,1.01
2020-05-23,Books,Business Book,97,2484.18,25.61,0,0,1.16
2020-05-23,Furniture,Office Chair,11,1280.76,116.43,0,0,1.06
2020-05-23,Toys,Building Blocks,52,1915.69,36.84,0,0,0.92
2020-05-23,Sports,Yoga Mat,45,2000.78,44.46,0,0,1.08
2020-05-23,Beauty,Face Serum,199,3803.92,19.12,0,0,1.03
2020-05-24,Electronics,Smart Speaker,12,1830.46,152.54,0,0,0.96
2020-05-24,Groceries,Organic Cereal,306,1543.91,5.05,0,0,1.02
2020-05-24,Clothing,Running Shoes,60,3749.46,62.49,0,0,0.91
2020-05-24,Books,Business Book,98,2416.94,24.66,0,0,0.9
2020-05-24,Furniture,Office Chair,12,1494.5,124.54,0,0,0.91
2020-05-24,Toys,Building Blocks,57,2013.01,35.32,0,0,1.26
2020-05-24,Sports,Yoga Mat,51,2499.5,49.01,0,0,1.06
2020-05-24,Beauty,Face Serum,167,3381.79,20.25,0,0,0.89
2020-05-25,Electronics,Smart Speaker,15,2138.67,142.58,0,0,0.99
2020-05-25,Groceries,Organic Cereal,289,1322.72,4.58,0,0,1.15
2020-05-25,Clothing,Running Shoes,64,3645.68,56.96,0,0,0.83
2020-05-25,Books,Business Book,92,2151.65,23.39,0,0,0.87
2020-05-25,Furniture,Office Chair,8,947.54,118.44,0,0,0.85
2020-05-25,Toys,Building Blocks,71,2358.61,33.22,0,0,1.05
2020-05-25,Sports,Yoga Mat,43,1857.69,43.2,0,0,0.98
2020-05-25,Beauty,Face Serum,175,3363.05,19.22,0,0,1.07
2020-05-26,Electronics,Smart Speaker,11,1647.3,149.75,0,0,0.95
2020-05-26,Groceries,Organic Cereal,305,1505.56,4.94,0,0,1.15
2020-05-26,Clothing,Running Shoes,48,3059.44,63.74,0,0,0.79
2020-05-26,Books,Business Book,90,2091.65,23.24,0,0,0.92
2020-05-26,Furniture,Office Chair,4,502.46,125.61,0,0,1.13
2020-05-26,Toys,Building Blocks,42,1477.26,35.17,0,0,0.99
2020-05-26,Sports,Yoga Mat,35,1547.38,44.21,0,0,0.98
2020-05-26,Beauty,Face Serum,145,2934.02,20.23,0,0,1.03
2020-05-27,Electronics,Smart Speaker,3,463.34,154.45,0,0,0.97
2020-05-27,Groceries,Organic Cereal,291,1478.73,5.08,0,0,0.87
2020-05-27,Clothing,Running Shoes,56,3272.18,58.43,0,0,1.1
2020-05-27,Books,Business Book,90,2074.88,23.05,0,0,1.06
2020-05-27,Furniture,Office Chair,9,967.58,107.51,0,0,1.17
2020-05-27,Toys,Building Blocks,52,1848.01,35.54,0,0,0.83
2020-05-27,Sports,Yoga Mat,33,1497.69,45.38,0,0,0.98
