iter	RMSE
0	477.5333829
1	460.0244007
2	443.6578742
3	430.722909
4	419.699218
5	409.7601754
6	401.1035044
7	393.4517947
8	387.9589487
9	381.8592234
10	377.2766374
11	373.6433931
12	369.7123527
13	366.5455187
14	363.6597271
15	361.3305898
16	359.1833941
17	357.027287
18	354.9627247
19	352.8154555
20	351.308099
21	349.4338406
22	348.0102851
23	347.0742332
24	345.8110143
25	344.6784201
26	343.2919882
27	342.2587514
28	341.4236101
29	340.6244653
30	339.4499922
31	338.5390818
32	337.682715
33	336.6980823
34	335.948839
35	335.143633
36	334.3558175
37	333.63845
38	332.4684575
39	331.3784197
40	330.3159717
41	329.5049599
42	328.9111748
43	328.158656
44	327.4733846
45	326.993309
46	326.4254131
47	325.8070488
48	324.9873146
49	324.3854085
50	323.6394721
51	322.7960074
52	322.3062603
53	321.667537
54	321.0381658
55	320.4552186
56	319.7619046
57	318.9530012
58	318.4545374
59	317.9637659
60	317.1712134
61	316.6861945
62	315.9232492
63	315.0675307
64	314.3482203
65	313.8015896
66	313.2453745
67	312.540554
68	312.0356216
69	311.7585083
70	311.3405493
71	310.7456567
72	310.3076803
73	309.2220566
74	308.8366826
75	308.2505409
76	307.6175663
77	307.2075358
78	306.6224274
79	305.8006191
80	304.908533
81	304.4577138
82	303.7688254
83	303.4698875
84	303.0631265
85	302.3319304
86	301.6484557
87	300.6804627
88	300.0132242
89	299.2730116
90	299.0109291
91	298.3098676
92	297.5438004
93	296.8433917
94	296.0813839
95	295.3924613
96	294.6698465
97	293.6027401
98	293.2261618
99	292.3867727
