iter	Passed	Remaining
0	0	60
1	1	56
2	1	53
3	2	51
4	2	49
5	3	48
6	3	47
7	4	46
8	4	47
9	5	46
10	5	45
11	6	45
12	6	44
13	7	43
14	7	44
15	8	43
16	8	43
17	9	42
18	9	41
19	10	41
20	10	40
21	11	40
22	11	39
23	12	38
24	12	38
25	13	37
26	13	37
27	14	36
28	14	36
29	15	35
30	15	35
31	16	34
32	16	34
33	17	33
34	17	33
35	18	32
36	18	32
37	19	31
38	19	31
39	20	30
40	20	30
41	21	29
42	21	29
43	22	28
44	22	28
45	23	27
46	23	26
47	24	26
48	24	25
49	25	25
50	25	24
51	26	24
52	26	23
53	27	23
54	28	23
55	29	22
56	29	22
57	30	21
58	30	21
59	31	20
60	31	20
61	32	19
62	32	19
63	33	18
64	33	18
65	34	17
66	34	17
67	35	16
68	35	16
69	36	15
70	37	15
71	37	14
72	37	14
73	38	13
74	38	12
75	39	12
76	39	11
77	40	11
78	41	10
79	41	10
80	42	9
81	42	9
82	43	8
83	43	8
84	44	7
85	44	7
86	45	6
87	45	6
88	46	5
89	46	5
90	47	4
91	47	4
92	47	3
93	48	3
94	49	2
95	49	2
96	50	1
97	50	1
98	51	0
99	51	0
